month,usmortgage30,urny
1,5.916,6.3
2,5.8425,6.3
3,5.745,6.3
4,5.8125,6.3
5,5.484,6.4
6,5.23,6.4
7,5.6325,6.5
8,6.264,6.5
9,6.1475,6.5
10,5.952,6.4
11,5.9325,6.4
12,5.876,6.4
13,5.7125,6.4
14,5.635,6.3
15,5.445,6.3
16,5.83,6.1
17,6.27,6
18,6.2875,5.9
19,6.056,5.7
20,5.8675,5.6
21,5.754,5.5
22,5.7225,5.4
23,5.73,5.3
24,5.752,5.2
25,5.71,5.1
26,5.6275,5.1
27,5.928,5
28,5.855,5
29,5.72,4.9
30,5.582,4.9
31,5.695,5
32,5.82,5
33,5.774,5.1
34,6.065,5
35,6.33,5
36,6.272,4.9
37,6.145,4.8
38,6.2525,4.8
39,6.324,4.7
40,6.5075,4.7
41,6.5975,4.7
42,6.682,4.7
43,6.7625,4.6
44,6.524,4.5
45,6.4025,4.4
46,6.3575,4.3
47,6.24,4.3
48,6.135,4.2
49,6.2175,4.2
50,6.285,4.3
51,6.156,4.3
52,6.18,4.4
53,6.262,4.5
54,6.6575,4.5
55,6.695,4.6
56,6.572,4.7
57,6.3825,4.7
58,6.375,4.8
59,6.208,4.8
60,6.095,4.8
61,5.758,4.8
62,5.9175,4.9
63,5.97,4.9
64,5.9175,5
65,6.036,5.1
66,6.32,5.2
67,6.426,5.4
68,6.4775,5.5
69,6.0375,5.7
70,6.2,6
71,6.0875,6.3
72,5.286,6.7
73,5.0475,7.1
74,5.13,7.5
75,5.0025,7.8
76,4.81,8.1
77,4.8575,8.3
78,5.42,8.4
79,5.222,8.5
80,5.1925,8.7
81,5.0575,8.8
82,4.952,8.8
83,4.875,8.9
84,4.93,8.9
85,5.03,8.9
86,4.99,8.8
87,4.9675,8.8
88,5.098,8.7
89,4.8875,8.6
90,4.7375,8.5
91,4.564,8.5
92,4.4275,8.5
93,4.346,8.5
94,4.225,8.5
95,4.3,8.4
96,4.714,8.4
97,4.755,8.3
98,4.9525,8.2
99,4.836,8.1
100,4.84,8.1
101,4.6375,8.1
102,4.51,8.2
103,4.545,8.3
104,4.27,8.3
105,4.106,8.4
106,4.0675,8.5
107,3.9925,8.5
108,3.958,8.6
109,3.915,8.6
110,3.89,8.6
111,3.954,8.7
112,3.91,8.7
113,3.798,8.7
114,3.675,8.7
115,3.55,8.6
116,3.602,8.5
117,3.4975,8.4
118,3.3825,8.3
119,3.352,8.2
120,3.345,8.2
121,3.414,8.1
122,3.5325,8.1
123,3.565,8
124,3.445,7.9
125,3.536,7.8
126,4.07,7.8
127,4.37,7.7
128,4.456,7.7
129,4.49,7.6
130,4.192,7.4
131,4.255,7.3
132,4.4575,7.1
133,4.432,7
134,4.3025,6.8
135,4.3425,6.7
136,4.3375,6.6
137,4.192,6.5
138,4.1625,6.4
139,4.13,6.2
140,4.115,6.1
141,4.1625,6
142,4.036,6
143,3.9975,5.9
144,3.864,5.8
145,3.67,5.7
146,3.71,5.7
147,3.77,5.6
148,3.672,5.5
149,3.84,5.4
150,3.9825,5.3
151,4.046,5.2
152,3.905,5
153,3.89,5
154,3.796,4.9
155,3.9425,4.9
156,3.964,4.9
157,3.8725,4.9
158,3.66,4.8
159,3.694,4.8
160,3.605,4.8
161,3.6,4.8
162,3.568,4.9
163,3.44,4.9
164,3.435,4.9
165,3.46,5
166,3.47,4.9
167,3.77,4.9
168,4.198,4.8
169,4.15,4.7
170,4.1675,4.7
171,4.196,4.7
172,4.045,4.7
173,4.01,4.7
174,3.904,4.7
175,3.9675,4.8
176,3.88,4.8
177,3.805,4.7
178,3.895,4.7
179,3.922,4.6
180,3.95,4.6
181,4.0325,4.5
182,4.33,4.5
183,4.444,4.4
184,4.4675,4.3
185,4.586,4.2
186,4.57,4.1
187,4.5275,4
188,4.55,3.9
189,4.6275,3.9
190,4.83,3.9
191,4.866,4
192,4.6375,4
193,4.464,4
194,4.37,4
195,4.265,4
196,4.1425,4
197,4.072,4
198,3.8025,3.9
199,3.765,3.9
200,3.616,3.9
201,3.605,3.9
202,3.688,3.9
203,3.695,3.9
204,3.72,3.9
205,3.624,3.8
206,3.465,3.7
207,3.45,4.1
208,3.306,15.3
209,3.2325,14.5
210,3.1625,15.6
211,3.016,15.9
212,2.935,12.5
213,2.89,9.7
214,2.834,9.6
